Club;Plantilla ;Edad;Extranjeros;Valor de mercado total
FB Barcelona;33;25,2;17;772,5
Real Madrid;32;23,5;15;716,2
Atlético de Madrid;36;24,4;19;585
Valencia CF;33;25,5;20;269,45
Sevilla FC;30;23,3;14;230,9
Villareal CF;40;24,4;15;196,7
Athletic Club;33;25;1;188,5
Real Sociedad;30;25,2;6;165,1
UD Las Palmas;38;25,9;15;123
Celta de Vigo;32;23,5;16;1145,65
Real Betis Balompié;31;24,9;9;95,55
Deportivo de La Coruña;36;25,8;18;89,4
Málaga CF;40;24,8;17;88,43
RCD Espanyol;29;26,4;7;85,45
SD Eibar;33;25,9;9;71,75
Deportivo Alavés;33;24,1;11;64,85
Levante UD;37;24,3;15;59,35
CD Leganés;34;25,9;15;53,63
Getafe CF;36;25,6;18;48,75
Girona FC;30;24,4;13;35,6
